id_venta,tipo_venta,rut_cliente,nombre_producto,total_venta,fecha_venta,folio,Nombre,RUT,Dirección,Número de Contacto,Correo Electrónico,Logo,Giro
1,debito,19818294k,,599900,28/09/2023,0000039,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,debito,19818294k,,59990,28/09/2023,0000040,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,debito,19818294k,,1990,24-09-2023,0000041,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,efectivo,19818294k,Audifonos Blancos,59990,28/09/2023,0000042,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,debito,19818294k,Audifonos Blancos,59990,28/09/2023,0000043,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,debito,19818294k,LAPIZ AZUL,1990,28/09/2023,0000045,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,debito,19818294k,Audifonos Blancos,599900,28/09/2023,0000046,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,credito,19818294k,Audifonos Blancos,59990,24-09-2023,0000048,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,debito,19818294k,Audifonos Blancos,59990,28/09/2023,0000050,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,debito,19818294k,Audifonos Blancos,59990,28/09/2023,0000051,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
1,debito,19818294k,Audifonos Blancos,59990,28/09/2023,0000052,Monsters Inc,66666666-6,525 CUMMING,666666666,sebafrids@gmail.com,8d7c405fed4ee271a8d7e4043e406700.ico,Ventas
